,Outdegree
gsc,280
lhx1,268
gata6,263
gata4,260
mixl1,246
mesp2,244
irx5,218
tcf15,192
mesp1,165
etv2,159
smad7,140
nanog,126
peg3,70
lin28a,65
eomes,61
cdx4,36
zic3,35
lef1,27
foxc1,27
pou3f1,22
hmga2,17
foxc2,13
etv4,12
hoxc8,9
tcf7l2,7
hoxb8,7
otx2,5
zic5,3
hoxa9,2
t,1
zfp36l2,1
nkx1-2,1
hoxb9,1
sox3,1
snai1,1
hes1,1
foxp1,1
tbx3,1
sall3,1
zic2,1
cdx1,0
ets2,0
cdx2,0
id2,0
id3,0
hand1,0
gbx2,0
foxf1,0
evx1,0
hoxd9,0
id1,0
hes3,0
hes7,0
meis2,0
meox1,0
sall4,0
plagl1,0
pbx1,0
msx1,0
msgn1,0
osr1,0
msx2,0
prdm6,0
pou5f1,0
sox2,0
sox4,0
sp5,0
tbx6,0
zfp503,0
