Gene1,Gene2
Cdx2,1700017B05Rik
Cdx2,Aldh1a2
Cdx2,Alpl
Cdx2,Alx4
Cdx2,Arg1
Cdx2,Arl4c
Cdx2,Arl4d
Cdx2,Axin2
Cdx2,Bambi
Cdx2,Bcat1
Cdx2,Cachd1
Cdx2,Cadm1
Cdx2,Cdh2
Cdx2,Cdx2
Cdx2,Cited2
Cdx2,Col9a1
Cdx2,Cped1
Cdx2,Crabp1
Cdx2,Cxcl12
Cdx2,Cyp26a1
Cdx2,Dhrs3
Cdx2,Dusp12
Cdx2,Dusp4
Cdx2,Dusp6
Cdx2,Epb41l3
Cdx2,Epha1
Cdx2,Epha2
Cdx2,Epha4
Cdx2,Epha5
Cdx2,Etv4
Cdx2,Fbn2
Cdx2,Fgfbp3
Cdx2,Flrt2
Cdx2,Foxc1
Cdx2,Foxp1
Cdx2,Gas1
Cdx2,Gbx2
Cdx2,Gpc3
Cdx2,Greb1
Cdx2,Greb1l
Cdx2,Grsf1
Cdx2,Gsc
Cdx2,Hes1
Cdx2,Hes7
Cdx2,Hoxb8
Cdx2,Hoxb9
Cdx2,Hoxc8
Cdx2,Hoxd9
Cdx2,Id1
Cdx2,Ifitm1
Cdx2,Igdcc3
Cdx2,Irx5
Cdx2,Itga8
Cdx2,Lamc1
Cdx2,Lamp5
Cdx2,Laptm4b
Cdx2,Lef1
Cdx2,Lhpp
Cdx2,Lima1
Cdx2,Limch1
Cdx2,Lin28a
Cdx2,Lin28b
Cdx2,Lrig3
Cdx2,Map1b
Cdx2,Meis2
Cdx2,Meox1
Cdx2,Msgn1
Cdx2,Msx1
Cdx2,Msx2
Cdx2,Ncam1
Cdx2,Nin
Cdx2,Nkd1
Cdx2,Nkx1-2
Cdx2,Notch1
Cdx2,Nrarp
Cdx2,Odc1
Cdx2,Pbx1
Cdx2,Pcdh7
Cdx2,Pdlim4
Cdx2,Peg3
Cdx2,Phlda1
Cdx2,Pim1
Cdx2,Pitrm1
Cdx2,Pmp22
Cdx2,Pou3f1
Cdx2,Prickle1
Cdx2,Prrx1
Cdx2,Prtg
Cdx2,Ptk7
Cdx2,Ptn
Cdx2,Pus7
Cdx2,Rarb
Cdx2,Rarg
Cdx2,Rin2
Cdx2,Rrm2
Cdx2,Rrp8
Cdx2,Rspo3
Cdx2,S1pr3
Cdx2,Sall3
Cdx2,Sall4
Cdx2,Sema3e
Cdx2,Sema6a
Cdx2,Slc38a4
Cdx2,Slc6a6
Cdx2,Slc7a5
Cdx2,Smoc1
Cdx2,Sp5
Cdx2,Spred2
Cdx2,Spry4
Cdx2,Ssbp3
Cdx2,T
Cdx2,Tcf7l1
Cdx2,Tcf7l2
Cdx2,Tenm4
Cdx2,Tnfrsf19
Cdx2,Traf3ip2
Cdx2,Tril
Cdx2,Tubb4b
Cdx2,Twist1
Cdx2,Ubl4b
Cdx2,Upp1
Cdx2,Vegfc
Cdx2,Vim
Cdx2,Wls
Cdx2,Wnt5a
Cdx2,Zfp36l2
Cdx2,Zfp503
Cdx2,Zic3
Cdx2,Zic5
Sox2,1700017B05Rik
Sox2,Aldh1a2
Sox2,Amot
Sox2,Arg1
Sox2,Arl4c
Sox2,Arl4d
Sox2,Asb4
Sox2,Bambi
Sox2,Bex1
Sox2,Cald1
Sox2,Ccnd1
Sox2,Cd248
Sox2,Cd24a
Sox2,Cdc42ep5
Sox2,Cdh1
Sox2,Cdx2
Sox2,Cdx4
Sox2,Chchd10
Sox2,Chst7
Sox2,Cited1
Sox2,Cldn6
Sox2,Clmp
Sox2,Cnn2
Sox2,Col18a1
Sox2,Col23a1
Sox2,Col26a1
Sox2,Col9a1
Sox2,Crabp1
Sox2,Crabp2
Sox2,Cxxc5
Sox2,Cyp26a1
Sox2,Dact3
Sox2,Ddit4
Sox2,Dhrs3
Sox2,Dkk1
Sox2,Dlc1
Sox2,Dll1
Sox2,Dll3
Sox2,Dusp9
Sox2,Emb
Sox2,Epha2
Sox2,Epha5
Sox2,Ets2
Sox2,Ezr
Sox2,Fbn2
Sox2,Fgfbp3
Sox2,Fli1
Sox2,Flrt2
Sox2,Fn1
Sox2,Foxp1
Sox2,Frzb
Sox2,Fst
Sox2,Gata6
Sox2,Gcat
Sox2,Gldc
Sox2,Gpc3
Sox2,Hand1
Sox2,Hapln1
Sox2,Id1
Sox2,Id2
Sox2,Ifitm1
Sox2,Igfbp2
Sox2,Irx5
Sox2,Kdr
Sox2,Krt18
Sox2,Krt8
Sox2,Lef1
Sox2,Lfng
Sox2,Lhpp
Sox2,Limch1
Sox2,Lix1
Sox2,Lmo1
Sox2,Lmo2
Sox2,Maged2
Sox2,Map1b
Sox2,Meis2
Sox2,Mesp1
Sox2,Mesp2
Sox2,Mkrn1
Sox2,Mmp2
Sox2,Msgn1
Sox2,Nav2
Sox2,Ncam1
Sox2,Nid1
Sox2,Nin
Sox2,Notch1
Sox2,Nrarp
Sox2,Nrp1
Sox2,Pcdh19
Sox2,Pcdh7
Sox2,Pcdh8
Sox2,Peg3
Sox2,Phlda1
Sox2,Phldb2
Sox2,Plagl1
Sox2,Plvap
Sox2,Pmaip1
Sox2,Pou5f1
Sox2,Ppfibp2
Sox2,Prdm6
Sox2,Prrx1
Sox2,Ptk7
Sox2,Ptn
Sox2,Rab3il1
Sox2,Rasgrp3
Sox2,Rhoj
Sox2,Rspo3
Sox2,S100a6
Sox2,S1pr3
Sox2,Sall3
Sox2,Sema3e
Sox2,Sema6a
Sox2,Sfrp2
Sox2,Six1
Sox2,Slc2a1
Sox2,Slc38a4
Sox2,Slc7a3
Sox2,Smoc1
Sox2,Snai1
Sox2,Snai2
Sox2,Sox2
Sox2,Sox3
Sox2,Sp5
Sox2,Spry4
Sox2,T
Sox2,Tax1bp3
Sox2,Tbx3
Sox2,Tcea3
Sox2,Tcf15
Sox2,Tcf7l1
Sox2,Tns1
Sox2,Tpd52
Sox2,Tpm1
Sox2,Tspan13
Sox2,Tubb2b
Sox2,Twist1
Sox2,Uchl1
Sox2,Vegfc
Sox2,Vim
Sox2,Zic3
T,1700017B05Rik
T,A2m
T,Aldh1a2
T,Alx3
T,Amot
T,Aplnr
T,Arg1
T,Arl4c
T,Arl4d
T,Asb4
T,Bambi
T,Bmp4
T,Cald1
T,Ccnd1
T,Ccnd2
T,Cd24a
T,Cdc42ep5
T,Cdh1
T,Cdh2
T,Cdk6
T,Cdx2
T,Cdx4
T,Chd3
T,Chst7
T,Cited2
T,Cldn6
T,Clmp
T,Cnn2
T,Col18a1
T,Col23a1
T,Col4a1
T,Col9a1
T,Crabp1
T,Crabp2
T,Cst3
T,Cxcl12
T,Cxxc5
T,Cyp26a1
T,Ddit4
T,Ddr2
T,Dkk1
T,Dlc1
T,Dll3
T,Dusp4
T,Emb
T,Epha1
T,Epha2
T,Epha5
T,Ets2
T,Ezr
T,Fam43a
T,Fbn2
T,Fgf17
T,Fgf8
T,Fli1
T,Flrt2
T,Fn1
T,Foxc1
T,Foxp1
T,Frzb
T,Fst
T,Gata6
T,Gbx2
T,Gldc
T,Gpc3
T,Grsf1
T,Hand1
T,Hapln1
T,Hes7
T,Hmces
T,Id1
T,Ifitm1
T,Irx5
T,Kcnk1
T,Kdr
T,Krt18
T,Krt8
T,Lef1
T,Limch1
T,Lix1
T,Lmo2
T,Lrig3
T,Map1b
T,Meis2
T,Meox1
T,Mesp1
T,Mesp2
T,Mgst1
T,Mrc2
T,Msgn1
T,Msx2
T,Myl12b
T,Nav2
T,Ncam1
T,Nid1
T,Nin
T,Nkx1-2
T,Notch1
T,Nrarp
T,Nrp1
T,Osr1
T,Pcdh18
T,Pcdh19
T,Pcdh7
T,Pdgfra
T,Pdgfrb
T,Phc1
T,Phlda1
T,Phldb2
T,Plvap
T,Pmaip1
T,Pmp22
T,Prdm6
T,Prickle1
T,Prrx1
T,Ptk7
T,Ptn
T,Pus7
T,Rasgrp3
T,Rhoj
T,Rspo3
T,S100a10
T,Sall3
T,Sema3e
T,Sema6a
T,Six1
T,Slc2a1
T,Slc38a4
T,Slc6a6
T,Slc7a3
T,Smc6
T,Smoc1
T,Snai1
T,Snai2
T,Sox2
T,Sox3
T,Sp5
T,Spint2
T,Spred2
T,Spry4
T,St6galnac4
T,Stmn2
T,T
T,Tbx3
T,Tbx6
T,Tcea3
T,Tcf15
T,Tcf7l1
T,Tcf7l2
T,Tnfrsf19
T,Tns1
T,Tpd52
T,Tpm1
T,Tspan13
T,Twist1
T,Uchl1
T,Vegfc
T,Vim
T,Wnt3a
T,Zic2
T,Zic3
