,Outdegree
osr1,384
foxc2,335
gata6,323
msx2,312
hand1,294
foxc1,279
gata4,279
mesp2,266
lin28b,223
etv2,214
sox2,196
smad7,196
myc,189
rarg,186
id2,161
prdm6,158
pou3f1,146
sall3,122
alx1,115
id3,111
ets2,108
tcf15,106
mesp1,105
rarb,97
t,82
etv4,81
hes1,79
zic3,73
eomes,72
tbx3,70
nanog,65
tbx2,58
zfp36l2,57
zic2,57
foxp1,56
hoxd9,55
tcf7l1,47
tcf7l2,39
otx2,38
id1,36
zic5,35
msx1,26
foxf1,25
lef1,23
hmga2,21
prrx2,21
sox3,17
irx5,15
lin28a,15
meis2,14
mixl1,13
sp5,13
sox4,13
sall4,10
snai1,9
fli1,8
cdx1,7
gbx2,7
peg3,6
zfp503,5
pbx1,4
gsc,4
evx1,3
hes3,3
nkx1-2,2
tbx6,1
cdx2,1
alx3,1
snai2,1
twist1,1
hes7,1
hopx,1
hoxb8,1
hoxa9,1
ebf3,0
cdx4,0
alx4,0
hoxb9,0
lhx1,0
meox1,0
msgn1,0
hoxc8,0
six1,0
plagl1,0
six2,0
pou5f1,0
prrx1,0
