,Outdegree
foxc1,202
six2,186
peg3,185
id1,183
rarb,180
alx4,179
snai1,178
fli1,176
twist1,139
prrx1,108
meis2,77
tcf7l1,67
prrx2,49
tbx3,28
six1,23
alx1,19
snai2,4
lin28b,1
alx3,1
tbx2,1
hopx,0
ebf3,0
rarg,0
myc,0
