Term	Adjusted P-value
GO:1990837	4.5111383202258275e-09
GO:0003690	1.8924847896311236e-08
GO:0043565	7.889301843138573e-08
GO:0000976	7.57403510738181e-07
GO:0000977	1.202489108870176e-05
GO:0005021	7.26293796487814e-05
GO:0061629	7.26293796487814e-05
GO:0140297	7.84611686998033e-05
GO:0000978	8.444803071541067e-05
GO:0001228	0.00013238126244188327
GO:0000987	0.00018840038261967504
GO:0004714	0.0002654604114989857
GO:0005109	0.001039211535809
GO:0019199	0.0012050216711386
GO:0070696	0.0020142623699804
GO:0048018	0.002126280421757
GO:0033550	0.0043096079859563
GO:0004713	0.0053141184448474
GO:0017017	0.0057593201406428
GO:0070016	0.0072640880956751
GO:0008330	0.0072640880956751
GO:0045296	0.0089235970171517
GO:0005501	0.0089235970171517
GO:0070742	0.0163655522608744
GO:0033549	0.0187730489630232
GO:0005005	0.0246777148191558
GO:0070411	0.0263282821677747
GO:0005003	0.0263282821677747
GO:0001221	0.0280085126801593
GO:0008301	0.0315587916848163
GO:0005160	0.0421277939387796
GO:0008138	0.0449165111900403
