mmusculus,hsapiens
Actn1,ACTN1
Amot,AMOT
Anxa7,ANXA7
Aplnr,APLNR
Arl4d,ARL4D
Asb4,ASB4
Axin2,AXIN2
Bambi,BAMBI
Bst2,BST2
Cald1,CALD1
Ccnd1,CCND1
Ccnd2,CCND2
Cdh1,CDH1
Cdh11,CDH11
Cdk6,CDK6
Cdkn1a,CDKN1A
Cdx1,CDX1
Cdx2,CDX2
Cfc1,CFC1
Chchd10,CHCHD10
Cited1,CITED1
Cited2,CITED2
Cldn6,CLDN6
Cldn7,CLDN7
Cnn2,CNN2
Col23a1,COL23A1
Col4a1,COL4A1
Colec12,COLEC12
Crabp1,CRABP1
Crabp2,CRABP2
Crip2,CRIP2
Cxcl12,CXCL12
Cyp26a1,CYP26A1
Ddit4,DDIT4
Ddx31,DDX31
Dlc1,DLC1
Dll3,DLL3
Dusp4,DUSP4
Eomes,EOMES
Epb41l3,EPB41L3
Epha1,EPHA1
Epha4,EPHA4
Epha5,EPHA5
Etv2,ETV2
Evx1,EVX1
Fam43a,FAM43A
Farp1,FARP1
Fbn2,FBN2
Fgf17,FGF17
Fgf3,FGF3
Fgf5,FGF5
Fgf8,FGF8
Fgfbp3,FGFBP3
Fn1,FN1
Foxp1,FOXP1
Frmd6,FRMD6
Frzb,FRZB
Fst,FST
Fzd10,FZD10
Gas1,GAS1
Gata4,GATA4
Gata6,GATA6
Gpc3,GPC3
Grsf1,GRSF1
Hes3,HES3
Hoxb9,HOXB9
Id2,ID2
Igfbp4,IGFBP4
Ina,INA
Kcnk1,KCNK1
Kdr,KDR
Krt18,KRT18
Krt8,KRT8
L1td1,L1TD1
Laptm4b,LAPTM4B
Lef1,LEF1
Lefty2,LEFTY1
Lhpp,LHPP
Lhx1,LHX1
Lin28a,LIN28A
Lin28b,LIN28B
Lmo1,LMO1
Lrig3,LRIG3
Lrp1,LRP1
Mesp2,MESP2
Mettl13,METTL13
Mfap4,MFAP4
Mgst1,MGST1
Mixl1,MIXL1
Mmp2,MMP2
Mpc2,MPC2
Msx1,MSX1
Msx2,MSX2
Myc,MYC
Nefl,NEFL
Nkd1,NKD1
Nkx1-2,NKX1-2
Notch1,NOTCH1
Otx2,OTX2
Pcdh18,PCDH18
Pcdh7,PCDH7
Pcsk1n,PCSK1N
Pdgfra,PDGFRA
Pdlim4,PDLIM4
Pdzd4,PDZD4
Peg3,PEG3
Phlda2,PHLDA2
Phldb2,PHLDB2
Pid1,PID1
Pim1,PIM1
Pitrm1,PITRM1
Plagl1,PLAGL1
Pmaip1,PMAIP1
Polg,POLG
Pou3f1,POU3F1
Ppfibp1,PPFIBP1
Ppic,PPIC
Prickle1,PRICKLE1
Ptk7,PTK7
Ptn,PTN
Rab25,RAB25
Rarg,RARG
Rasgrp2,RASGRP2
Rasgrp3,RASGRP3
Rbp1,RBP1
Rspo3,RSPO3
S100a11,S100A11
S1pr2,S1PR2
Sema3e,SEMA3E
Slc38a4,SLC38A4
Slc6a6,SLC6A6
Slc7a3,SLC7A3
Smad7,SMAD7
Snai1,SNAI1
Sox2,SOX2
Sox3,SOX3
Sp5,SP5
Spred2,SPRED2
Srm,SRM
St6galnac4,ST6GALNAC4
Tax1bp3,TAX1BP3
Tbx3,TBX3
Tcea3,TCEA3
Tcf15,TCF15
Tcf7l1,TCF7L1
Tenm4,TENM4
Tmem47,TMEM47
Tnfrsf19,TNFRSF19
Trh,TRH
Upp1,UPP1
Vim,VIM
Wfdc2,WFDC2
Wls,WLS
Wnt2,WNT2
Wnt3,WNT3
Wnt5a,WNT5A
Wnt5b,WNT5B
Ypel3,YPEL3
Zfp503,ZNF503
Zic3,ZIC3
Zic5,ZIC5
