Term,Adjusted P-value
GO:0045229,6.521185236090006e-08
GO:0043062,6.521185236090006e-08
GO:0030198,8.570493488188876e-07
GO:0001501,0.0006961285829747818
GO:0005788,0.0029286160485465
GO:0062023,0.0042897684409407
GO:0070013,0.0092961965942151
GO:0008285,0.0157051789846704
GO:0042803,0.0178522841107239
GO:0061448,0.0228598695823806
GO:0030199,0.0236029023631064
GO:0071260,0.0277276584042639
GO:0051216,0.0277276584042639
GO:0048523,0.0277276584042639
GO:0034728,0.0431035600854506
GO:0016055,0.0431035600854506
GO:0097435,0.0431035600854506
GO:0007605,0.0431035600854506
GO:0050954,0.0431035600854506
GO:0006508,0.0431035600854506
GO:0007601,0.0431035600854506
GO:0050953,0.0431035600854506
GO:1905941,0.0431035600854506
GO:0090184,0.0431035600854506
GO:0002063,0.0431035600854506
GO:2000020,0.0431035600854506
GO:0090090,0.0437470441460256
GO:0042127,0.0437470441460256
GO:0072175,0.0437470441460256
GO:2000018,0.0437470441460256
GO:0046322,0.0491258449391189
