Term	Adjusted P-value
GO:0043565	8.907472485240239e-11
GO:1990837	1.6747228746810988e-10
GO:0003690	5.081938151277801e-10
GO:0000977	1.1842779482478995e-09
GO:0000978	6.446385827327427e-08
GO:0000987	1.3900710083533258e-07
GO:0000976	4.118672432709707e-06
GO:0001228	5.914131688489799e-06
GO:0005501	9.12714782007285e-06
GO:0061575	0.0018199521228969
GO:0048018	0.0034769599432118
GO:0033293	0.0034769599432118
GO:0005109	0.0045754148082609
GO:0003779	0.004833456083448
GO:0016538	0.0096496042152118
GO:0001972	0.0153947127353943
GO:0061629	0.0163375370738
GO:0140297	0.0171670288528197
GO:0008083	0.0171670288528197
GO:0002151	0.017233861553585
GO:0008330	0.017233861553585
GO:0001664	0.0192399908805438
GO:0032036	0.0331210961873442
GO:0043539	0.0339518769159187
GO:1990825	0.0370219052286057
GO:0033549	0.0424643574822916
GO:0005324	0.0480401697097137
