Term,Adjusted P-value
GO:0009952,0.00014036197588643246
GO:0006357,0.00014036197588643246
GO:0000977,0.00031640218743120535
GO:0043565,0.00031640218743120535
GO:1990837,0.00031640218743120535
GO:0003690,0.0003711365618249641
GO:0060070,0.0012331410080425
GO:0030182,0.0014402197545842
GO:0000987,0.0016439495838481
GO:0000978,0.0016647728953713
GO:0048699,0.0016918719696162
GO:0016055,0.0023149154535077
GO:0071300,0.0023149154535077
GO:0006355,0.0023149154535077
GO:0005634,0.0034513226312397
GO:0043231,0.0034513226312397
GO:0002151,0.0061394797104602
GO:0032526,0.0074905444237422
GO:0007399,0.0090995671480521
GO:0048018,0.014081014266816
GO:0005874,0.014768609285795
GO:0015630,0.014768609285795
GO:0099513,0.014768609285795
GO:0062023,0.014768609285795
GO:0005324,0.0174586155754636
GO:0015245,0.0195574813196423
GO:0000976,0.0195574813196423
GO:0009954,0.0200841218369174
GO:0048562,0.0293653889809637
GO:0010976,0.0293653889809637
GO:0048565,0.0293653889809637
GO:0060563,0.0293653889809637
GO:0051960,0.0293653889809637
GO:0008284,0.0293653889809637
GO:0030334,0.0293653889809637
GO:0001569,0.0360666177818128
GO:0019888,0.0373742375980869
GO:0001972,0.0381889181740654
GO:0030177,0.0390969634733988
GO:0045597,0.0407926382293173
GO:0005104,0.0418290284967683
GO:0007492,0.0427219618169718
GO:0055123,0.0450681443584636
GO:2000767,0.0450681443584636
GO:0060828,0.0451968709358106
GO:2000145,0.0451968709358106
GO:0001764,0.0451968709358106
GO:0045596,0.0464545741741479
GO:0045687,0.0464545741741479
GO:0002065,0.0464545741741479
GO:0008327,0.0496296862113089
GO:0008083,0.0496296862113089
